"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"ST14",364.333503112621,1211.22270531401,2.76285414016632,0.00736637769960811,0.020530305171673,-4.4330825575343,"Upregulated"
"SNORA17B",-51.5831069609509,104.714492753623,-2.76260814407953,0.00737136002024767,0.0205415104322064,-4.43311305905689,"Downregulated"
"ARPC4",282.35506508206,962.867632850242,2.76199435936846,0.00738380488130764,0.0205735056555887,-4.43318915621596,"Upregulated"
"AK4",-407.929605263158,1119.46811594203,-2.76184591101884,0.00738681765406052,0.020577177383763,-4.4332075593353,"Downregulated"
"SIPA1L1",-63.9765138653084,385.567632850242,-2.76179357030805,0.00738788018226826,0.020577177383763,-4.43321404786234,"Downregulated"
"HYPK",159.802674023769,1062.89275362319,2.76178702226768,0.00738801311882264,0.020577177383763,-4.43321485959879,"Upregulated"
"MALRD1-AS1",-32.6493208828522,53.4869565217391,-2.76162399511894,0.00739132355925663,0.0205837132944378,-4.43323506909789,"Downregulated"
"ANKH",118.232694639825,339.703519668737,2.76097431615692,0.00740452949798368,0.0206178013674625,-4.43331559872485,"Upregulated"
"CADM3",-48.2376061120544,138.528985507246,-2.76061487897073,0.00741184502153108,0.020635480918373,-4.43336014709099,"Downregulated"
"GPR89A",-224.065619694397,1167.34347826087,-2.76025001757156,0.00741927771890603,0.0206534820441444,-4.43340536413328,"Downregulated"
"CDNF",-39.2383701188455,78.8130434782609,-2.7601309928897,0.0074217038829743,0.0206572021456326,-4.4334201140028,"Downregulated"
"SCFD2-AS1",-21.6410441426146,84.6438405797101,-2.76008956318369,0.00742254854453269,0.0206572021456326,-4.43342524799667,"Downregulated"
"ZNF449",-55.4626485568762,230.43115942029,-2.75991588476163,0.00742609042883629,0.020664366552268,-4.43344676982167,"Downregulated"
"LPO",-33.6477079796265,62.4855072463768,-2.75977204154061,0.00742902504648356,0.0206698394890241,-4.43346459391631,"Downregulated"
"INSYN1",-37.8441001697793,125.890579710145,-2.75967741418282,0.00743095616633369,0.0206725193232237,-4.43347631920146,"Downregulated"
"SLC17A4",-61.1567911714771,165.292028985507,-2.75942734502621,0.00743606169963191,0.0206818065767817,-4.43350730412131,"Downregulated"
